HOMERUN,DATE,BATTER FULL,BATTER LAST,BATTER FIRST,BATTER TEAM,PITCHER FULL,PITCHER LAST,PITCHER FIRST,PITCHER TEAM,INNNING,DISTANCE,ANGLE,OUTS,BALLS,STRIKES,FIRST,SECOND,THIRD,TEMP,DAY/NIGHT,PHILS W/L,PHILLIES SCORE,VISITORS SCORE,RUNS SCORED,ZONE,PX,PZ,STANCE
86,06/03/2008,Pat Burrell,Burrell,Pat,Phillies,Aaron Harang,Harang,Aaron,Reds,6,374,114.5,1,2,2,0,1,0,75,Night,Win,1,1,2,8,0.035,2.331,Right
87,06/05/2008,Geoff Jenkins,Jenkins,Geoff,Phillies,Homer Bailey,Bailey,Homer,Reds,6,399,78.5,2,0,0,0,0,0,72,Day,Win,3,0,1,5,0.016,2.284,Left
88,06/16/2008,Ryan Howard,Howard,Ryan,Phillies,Bartolo Colon,Colon,Bartolo,Red Sox,1,360,110.1,1,1,0,0,1,0,79,Night,Win,1,0,2,13,-1.094,2.916,Left
89,06/16/2008,Jimmy Rollins,Rollins,Jimmy,Phillies,Bartolo Colon,Colon,Bartolo,Red Sox,1,408,63.2,0,1,0,0,0,0,79,Night,Win,0,0,1,9,0.288,2.08,Left
90,06/16/2008,Ryan Howard,Howard,Ryan,Phillies,Bartolo Colon,Colon,Bartolo,Red Sox,3,374,106.2,0,2,1,0,0,0,79,Night,Win,3,0,1,7,-0.309,2,Left
91,06/16/2008,Dustin Pedroia,Pedroia,Dustin,Red Sox,Cole Hamels,Hamels,Cole,Phillies,5,380,106.2,1,3,1,0,0,0,79,Night,Win,4,0,1,5,0.08,2.947,Right
92,06/16/2008,J.D. Drew,Drew,J.D.,Red Sox,Cole Hamels,Hamels,Cole,Phillies,5,421,86.1,1,1,1,0,0,0,79,Night,Win,4,1,1,8,0.166,2.189,Left
93,06/17/2008,Coco Crisp,Crisp,Coco,Red Sox,Jamie Moyer,Moyer,Jamie,Phillies,2,398,101.7,1,0,0,1,0,0,74,Night,Loss,0,0,2,8,-0.073,1.752,Right
94,06/18/2008,Mike Lowell,Lowell,Mike,Red Sox,Kyle Kendrick,Kendrick,Kyle,Phillies,1,365,108.3,0,2,1,0,0,0,75,Day,Loss,0,3,1,4,-0.601,2.544,Right
95,06/18/2008,J.D. Drew,Drew,J.D.,Red Sox,Kyle Kendrick,Kendrick,Kyle,Phillies,1,401,80.6,0,0,1,1,1,0,75,Day,Loss,0,0,3,4,-0.344,2.84,Left
96,06/20/2008,Vladimir Guerrero,Guerrero,Vladimir,Angels,Adam Eaton,Eaton,Adam,Phillies,1,365,114.9,0,0,0,0,1,0,81,Night,Loss,0,0,2,13,-0.929,2.331,Right
97,06/21/2008,Vladimir Guerrero,Guerrero,Vladimir,Angels,Brett Myers,Myers,Brett,Phillies,4,403,107.7,1,0,1,0,0,0,85,Night,Loss,0,0,1,13,-1.003,1.747,Right
98,06/21/2008,Jayson Werth,Werth,Jayson,Phillies,Joe Saunders,Saunders,Joe,Angels,7,415,85.8,0,0,0,0,0,0,85,Night,Loss,0,1,1,5,0.063,2.961,Right
99,06/21/2008,Vladimir Guerrero,Guerrero,Vladimir,Angels,Brett Myers,Myers,Brett,Phillies,7,416,106.1,2,1,0,0,0,0,85,Night,Loss,0,2,1,13,-0.856,2.618,Right
100,06/21/2008,Erick Aybar,Aybar,Erick,Angels,Brett Myers,Myers,Brett,Phillies,8,366,54.9,2,0,1,1,0,0,85,Night,Loss,2,2,2,7,-0.291,1.916,Left
101,06/22/2008,Casey Kotchman,Kotchman,Casey,Angels,Cole Hamels,Hamels,Cole,Phillies,2,402,60.5,1,1,0,1,0,0,80,Day,Loss,0,1,2,3,0.356,3.135,Left
102,07/05/2008,Ryan Howard,Howard,Ryan,Phillies,John Maine,Maine,John,Mets,4,366,115.1,1,2,1,1,1,0,79,Night,Loss,0,3,3,1,-0.274,3.566,Left
103,07/06/2008,Carlos Beltran,Beltran,Carlos,Mets,Kyle Kendrick,Kendrick,Kyle,Phillies,3,376,67.8,2,3,2,0,0,0,79,Day,Loss,0,0,1,4,-0.424,2.799,Left
104,07/06/2008,Jayson Werth,Werth,Jayson,Phillies,Billy Wagner,Wagner,Billy,Mets,9,417,95.5,2,1,2,1,0,0,79,Day,Loss,0,2,2,5,0.091,2.668,Right
105,07/06/2008,Fernando Tatis,Tatis,Fernando,Mets,Chad Durbin,Durbin,Chad,Phillies,12,407,94.6,1,2,2,0,1,0,79,Day,Loss,2,2,2,7,-0.669,1.785,Right
106,07/07/2008,Chase Utley,Utley,Chase,Phillies,Pedro Martinez,Martinez,Pedro,Mets,4,348,123.9,0,1,2,0,0,0,80,Night,Loss,0,8,1,8,0.137,1.932,Left
107,07/07/2008,Pat Burrell,Burrell,Pat,Phillies,Pedro Martinez,Martinez,Pedro,Mets,6,353,64.8,1,1,0,0,0,0,80,Night,Loss,1,10,1,6,0.606,3.059,Right
108,07/07/2008,David Wright,Wright,David,Mets,R.J. Swindle,Swindle,R.J.,Phillies,6,402,99.7,0,3,2,0,0,0,80,Night,Loss,1,8,1,4,-0.505,2.502,Right
109,07/07/2008,Ryan Howard,Howard,Ryan,Phillies,Tony Armas,Armas,Tony,Mets,7,350,64.5,2,0,0,0,0,1,80,Night,Loss,3,10,2,6,0.496,2.949,Left
110,07/07/2008,Geoff Jenkins,Jenkins,Geoff,Phillies,Aaron Heilman,Heilman,Aaron,Mets,8,411,79.3,2,0,0,1,0,0,80,Night,Loss,5,10,2,8,0.059,1.893,Left
111,07/08/2008,Rick Ankiel,Ankiel,Rick,Cardinals,Cole Hamels,Hamels,Cole,Phillies,5,413,100.9,0,1,0,0,0,0,88,Night,Loss,0,0,1,4,-0.702,2.417,Left
112,07/08/2008,Ryan Ludwick,Ludwick,Ryan,Cardinals,Cole Hamels,Hamels,Cole,Phillies,6,450,98,2,0,2,0,0,0,88,Night,Loss,0,1,1,7,-0.409,2.05,Right
113,07/09/2008,Pedro Feliz,Feliz,Pedro,Phillies,Chris Perez,Perez,Chris,Cardinals,8,358,114.3,2,1,2,0,0,0,75,Night,Win,3,2,1,5,-0.112,2.695,Right
114,07/09/2008,Ryan Howard,Howard,Ryan,Phillies,Kyle McClellan,McClellan,Kyle,Cardinals,8,374,71,0,0,2,0,0,0,75,Night,Win,2,2,1,14,1.01,2.463,Left
115,07/10/2008,Ryan Howard,Howard,Ryan,Phillies,Braden Looper,Looper,Braden,Cardinals,1,394,101,2,3,2,1,0,0,81,Day,Win,0,0,2,8,-0.132,1.749,Left
116,07/10/2008,Ryan Howard,Howard,Ryan,Phillies,Braden Looper,Looper,Braden,Cardinals,6,357,115.6,0,0,0,0,0,0,81,Day,Win,3,1,1,4,-0.655,2.786,Left
117,07/11/2008,Ryan Howard,Howard,Ryan,Phillies,Doug Davis,Davis,Doug,Diamondbacks,2,389,109.6,0,0,0,0,0,0,83,Night,Win,0,0,1,4,-0.493,2.722,Left
118,07/12/2008,Shane Victorino,Victorino,Shane,Phillies,Randy Johnson,Johnson,Randy,Diamondbacks,3,393,116.4,1,0,1,0,1,0,87,Day,Loss,0,2,2,7,-0.572,2.113,Right
119,07/12/2008,Mark Reynolds,Reynolds,Mark,Diamondbacks,R.J. Swindle,Swindle,R.J.,Phillies,4,426,98,2,1,2,1,0,1,87,Day,Loss,2,7,3,7,-0.622,2.145,Right
120,07/12/2008,Shane Victorino,Victorino,Shane,Phillies,Randy Johnson,Johnson,Randy,Diamondbacks,5,352,122.4,2,2,2,0,0,0,87,Day,Loss,3,10,1,5,-0.23,2.887,Right
121,07/13/2008,Chad Tracy,Tracy,Chad,Diamondbacks,Cole Hamels,Hamels,Cole,Phillies,2,390,63.7,1,1,2,0,0,0,87,Day,Win,0,0,1,5,-0.063,2.756,Left
122,07/13/2008,Pedro Feliz,Feliz,Pedro,Phillies,Chad Qualls,Qualls,Chad,Diamondbacks,8,360,122.8,1,0,1,0,0,0,87,Day,Win,5,2,1,11,-1.018,2.88,Right
123,07/13/2008,Pat Burrell,Burrell,Pat,Phillies,Chad Qualls,Qualls,Chad,Diamondbacks,8,388,103.4,0,2,2,1,1,0,87,Day,Win,2,2,3,9,0.237,1.903,Right
124,07/25/2008,Brian McCann,McCann,Brian,Braves,Kyle Kendrick,Kendrick,Kyle,Phillies,4,425,87.6,0,1,0,0,0,0,86,Night,Loss,0,0,1,13,-0.901,2.9,Left
125,07/25/2008,Brian McCann,McCann,Brian,Braves,Brad Lidge,Lidge,Brad,Phillies,9,378,68.9,0,1,2,1,1,1,86,Night,Loss,0,2,4,6,0.561,3.206,Left
126,07/25/2008,Ryan Howard,Howard,Ryan,Phillies,Will Ohman,Ohman,Will,Braves,9,387,105,2,0,1,1,0,0,86,Night,Loss,0,8,2,4,-0.377,2.784,Left
127,07/26/2008,Mark Teixeira,Teixeira,Mark,Braves,Cole Hamels,Hamels,Cole,Phillies,4,397,101.7,2,0,1,1,1,0,87,Day,Win,3,6,3,1,-0.505,3.475,Right
128,07/26/2008,Greg Dobbs,Dobbs,Greg,Phillies,Blaine Boyer,Boyer,Blaine,Braves,5,428,71.3,2,1,2,1,0,1,87,Day,Win,7,9,3,4,-0.302,2.395,Left
129,07/27/2008,Kelly Johnson,Johnson,Kelly,Braves,Adam Eaton,Eaton,Adam,Phillies,4,361,63.1,1,1,0,0,1,0,85,Day,Win,0,2,2,4,-0.274,3.043,Left
130,07/27/2008,Shane Victorino,Victorino,Shane,Phillies,Jo-Jo Reyes,Reyes,Jo-Jo,Braves,4,387,106.4,2,0,1,1,1,0,85,Day,Win,2,5,3,6,0.243,2.453,Right
131,07/27/2008,Omar Infante,Infante,Omar,Braves,Adam Eaton,Eaton,Adam,Phillies,4,395,110.1,1,2,2,0,0,0,85,Day,Win,0,4,1,4,-0.681,2.678,Right
132,07/27/2008,Chris Coste,Coste,Chris,Phillies,Jo-Jo Reyes,Reyes,Jo-Jo,Braves,4,401,95.9,2,2,1,1,0,0,85,Day,Win,0,5,2,8,-0.162,2.298,Right
133,07/27/2008,Pat Burrell,Burrell,Pat,Phillies,Julian Tavarez,Tavarez,Julian,Braves,5,383,103,1,3,2,0,0,0,85,Day,Win,5,5,1,6,-0.505,3.475,Right
134,07/27/2008,Jayson Werth,Werth,Jayson,Phillies,Blaine Boyer,Boyer,Blaine,Braves,6,426,95.1,2,3,2,1,0,0,85,Day,Win,9,5,2,4,-0.603,2.644,Right
135,07/27/2008,Jimmy Rollins,Rollins,Jimmy,Phillies,Buddy Carlyle,Carlyle,Buddy,Braves,7,359,70.1,2,0,1,0,0,0,85,Day,Win,11,5,1,8,0.048,2.426,Left
136,08/05/2008,Shane Victorino,Victorino,Shane,Phillies,Renyel Pinto,Pinto,Renyel,Marlins,7,344,128.1,2,2,2,1,0,0,84,Night,Loss,0,4,2,8,-0.086,2.039,Right
137,08/06/2008,Ryan Howard,Howard,Ryan,Phillies,Anibal Sanchez,Sanchez,Anibal,Marlins,3,404,101.9,0,1,2,0,0,0,87,Night,Win,3,0,1,7,-0.586,2.183,Left
138,08/10/2008,Chase Utley,Utley,Chase,Phillies,Tyler Yates,Yates,Tyler,Pirates,7,366,71.6,2,1,1,0,0,1,68,Day,Win,3,3,2,5,0.207,2.609,Left
139,08/19/2008,Willie Harris,Harris,Willie,Nationals,Joe Blanton,Blanton,Joe,Phillies,1,361,70.6,1,0,2,0,0,0,80,Night,Win,0,0,1,3,0.557,3.106,Left
140,08/19/2008,Jayson Werth,Werth,Jayson,Phillies,Steven Shell,Shell,Steven,Nationals,8,384,101.6,1,1,2,0,0,0,80,Night,Win,4,4,1,4,-0.341,3.339,Right
141,08/20/2008,Greg Dobbs,Dobbs,Greg,Phillies,Collin Balester,Balester,Collin,Nationals,5,372,72.5,0,2,2,1,0,0,77,Night,Win,1,0,2,4,-0.598,2.77,Left
142,08/21/2008,Carlos Ruiz,Ruiz,Carlos,Phillies,Saul Rivera,Rivera,Saul,Nationals,7,402,99.5,2,1,0,0,0,0,80,Night,Loss,2,2,1,2,0.084,3.235,Right
143,08/22/2008,Andre Ethier,Ethier,Andre,Dodgers,Kyle Kendrick,Kendrick,Kyle,Phillies,1,359,108.4,1,3,1,0,0,0,78,Night,Win,0,0,1,5,0.102,2.522,Left
144,08/22/2008,Ryan Howard,Howard,Ryan,Phillies,Greg Maddux,Maddux,Greg,Dodgers,4,384,108.3,2,2,0,1,0,0,78,Night,Win,0,1,2,13,-0.736,2.539,Left
145,08/22/2008,Chris Coste,Coste,Chris,Phillies,Greg Maddux,Maddux,Greg,Dodgers,6,363,108.2,2,1,1,1,0,1,78,Night,Win,4,1,3,7,-0.351,2.293,Right
146,08/22/2008,Chase Utley,Utley,Chase,Phillies,Ramon Troncoso,Troncoso,Ramon,Dodgers,7,413,88.6,1,3,1,0,0,0,78,Night,Win,7,1,1,7,-0.265,2.267,Left
147,08/23/2008,Pat Burrell,Burrell,Pat,Phillies,Clayton Kershaw,Kershaw,Clayton,Dodgers,1,374,127.9,0,0,1,1,1,0,81,Day,Win,0,0,3,13,-0.962,2.612,Right
148,08/23/2008,Russell Martin,Martin,Russell,Dodgers,Cole Hamels,Hamels,Cole,Phillies,3,414,104.2,0,0,0,0,1,0,81,Day,Win,3,0,2,2,0.067,3.096,Right
149,08/24/2008,Pedro Feliz,Feliz,Pedro,Phillies,Jason Johnson,Johnson,Jason,Dodgers,11,401,95.9,2,0,0,0,1,1,80,Night,Win,2,2,3,4,-0.374,2.537,Right
150,08/26/2008,Damion Easley,Easley,Damion,Mets,Jamie Moyer,Moyer,Jamie,Phillies,2,423,96.1,2,1,0,0,0,0,78,Night,Win,0,2,1,8,0.203,1.896,Right
151,08/26/2008,Fernando Tatis,Tatis,Fernando,Mets,Jamie Moyer,Moyer,Jamie,Phillies,3,368,113.2,0,2,2,1,0,1,78,Night,Win,0,3,3,11,-1,3.312,Right
